# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2020-03-10
#
# GRDC-No.:              6935500
# River:                 RHINE RIVER
# Station:               DIEPOLDSAU, RIETBRUECKE
# Country:               CH
# Latitude (DD):       47.3831
# Longitude (DD):      9.6409
# Catchment area (km²):      6119.0
# Altitude (m ASL):        456.273
# Next downstream station:      6935055
# Remarks:               
# Owner of original data: Switzerland - Federal Office for the Environment (BAFU)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1919-01 - 2016-12
# No. of years:          98
# Last update:           2018-08-20
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 35795
# DATA
YYYY-MM-DD;hh:mm; Value
1919-01-01;--:--;    239.000
1919-01-02;--:--;    196.000
1919-01-03;--:--;    156.000
1919-01-04;--:--;    151.000
1919-01-05;--:--;    156.000
1919-01-06;--:--;    158.000
1919-01-07;--:--;    154.000
1919-01-08;--:--;    151.000
1919-01-09;--:--;    147.000
1919-01-10;--:--;    139.000
1919-01-11;--:--;    138.000
1919-01-12;--:--;    122.000
1919-01-13;--:--;    116.000
1919-01-14;--:--;    111.000
1919-01-15;--:--;    104.000
1919-01-16;--:--;    104.000
1919-01-17;--:--;    107.000
1919-01-18;--:--;    104.000
1919-01-19;--:--;     99.200
1919-01-20;--:--;     97.600
1919-01-21;--:--;     96.000
1919-01-22;--:--;     91.200
1919-01-23;--:--;     89.600
1919-01-24;--:--;     89.600
1919-01-25;--:--;     88.000
1919-01-26;--:--;     86.400
1919-01-27;--:--;     84.900
1919-01-28;--:--;     88.000
1919-01-29;--:--;     81.900
1919-01-30;--:--;     77.400
1919-01-31;--:--;     73.000
1919-02-01;--:--;     73.000
1919-02-02;--:--;     78.900
1919-02-03;--:--;     75.900
1919-02-04;--:--;     70.100
1919-02-05;--:--;     68.600
1919-02-06;--:--;     70.100
1919-02-07;--:--;     68.600
1919-02-08;--:--;     65.600
1919-02-09;--:--;     65.600
1919-02-10;--:--;     65.600
1919-02-11;--:--;     67.100
1919-02-12;--:--;     67.100
1919-02-13;--:--;     65.600
1919-02-14;--:--;     65.600
1919-02-15;--:--;     67.100
1919-02-16;--:--;     67.100
1919-02-17;--:--;     71.500
1919-02-18;--:--;     81.900
1919-02-19;--:--;     86.400
1919-02-20;--:--;     80.400
1919-02-21;--:--;     83.400
1919-02-22;--:--;     86.400
1919-02-23;--:--;     84.900
1919-02-24;--:--;     96.000
1919-02-25;--:--;     96.000
1919-02-26;--:--;     88.000
1919-02-27;--:--;     81.900
1919-02-28;--:--;     78.900
1919-03-01;--:--;     73.000
1919-03-02;--:--;     68.600
1919-03-03;--:--;     77.400
1919-03-04;--:--;     83.400
1919-03-05;--:--;     92.800
1919-03-06;--:--;    101.000
1919-03-07;--:--;     99.200
1919-03-08;--:--;     94.400
1919-03-09;--:--;     86.400
1919-03-10;--:--;     81.900
1919-03-11;--:--;     81.900
1919-03-12;--:--;     83.400
1919-03-13;--:--;     88.000
1919-03-14;--:--;     86.400
1919-03-15;--:--;     81.900
1919-03-16;--:--;     80.400
1919-03-17;--:--;     83.400
1919-03-18;--:--;     81.900
1919-03-19;--:--;     83.400
1919-03-20;--:--;     68.600
1919-03-21;--:--;     68.600
1919-03-22;--:--;     67.100
1919-03-23;--:--;     70.100
1919-03-24;--:--;     71.500
1919-03-25;--:--;     80.400
1919-03-26;--:--;     84.900
1919-03-27;--:--;    101.000
1919-03-28;--:--;    102.000
1919-03-29;--:--;     99.200
1919-03-30;--:--;     99.200
1919-03-31;--:--;     97.600
1919-04-01;--:--;     92.800
1919-04-02;--:--;     92.800
1919-04-03;--:--;     88.000
1919-04-04;--:--;     96.000
1919-04-05;--:--;    127.000
1919-04-06;--:--;    147.000
1919-04-07;--:--;    170.000
1919-04-08;--:--;    209.000
1919-04-09;--:--;    265.000
1919-04-10;--:--;    209.000
1919-04-11;--:--;    186.000
1919-04-12;--:--;    213.000
1919-04-13;--:--;    216.000
1919-04-14;--:--;    248.000
1919-04-15;--:--;    229.000
1919-04-16;--:--;    211.000
1919-04-17;--:--;    186.000
